rank,company_id,company_name,website,final_score,confidence,ready_to_send,contact_name,contact_title,contact_linkedin,contact_source,email_subject,email_preview,draft_file,review_warnings
1,runcaptain-com,Captain,https://runcaptain.com,100,high,true,Edgar Babajanyan,Co-Founder and CTO,https://www.linkedin.com/in/edgar-babajanyan-a28230217/,seed_team,Exploring Enhanced Incident Response with Captain,"Hi Edgar, With Captain's focus on scalable AI solutions for knowledge retrieval, teams may significantly enhance their operational efficiency. Captain provides a multimodal data search capability t...",drafts/001_runcaptain-com.md,no_seed_email
2,getlark-ai,Lark,https://getlark.ai,100,high,false,,,,persona_only,Inquiry on Incident Detection Workflows,"Hi, I'm reaching out to understand how your team currently manages incident detection and response during deployments. Lark offers a platform that focuses on continuous testing across APIs, UIs, an...",drafts/002_getlark-ai.md,no_seed_contact; no_seed_email; no_linkedin_url
3,clarm-com,Clarm,https://www.clarm.com,100,medium,true,Marcus Storm-Mollard,Founder - CEO,https://www.linkedin.com/in/marcus-storm-a0514aa1/,seed_team,Exploring Inbound Conversion Challenges,"Hi Marcus, As the Founder and CEO at Clarm, I appreciate your focus on optimizing inbound inquiries to generate revenue. Your support and incident response capabilities indicated by the robust docu...",drafts/003_clarm-com.md,manual_review_required; no_seed_email
4,qualgent-ai,QualGent,https://www.qualgent.ai,100,medium,true,Shivam Agrawal,Founder,https://www.linkedin.com/in/shivam-agrawal,seed_team,Exploring QA Automation Challenges,"Hi Shivam, I noticed QualGent focuses on automation in mobile app testing, particularly through your AI-driven QA platform. With the increasing complexity of mobile applications and the growing rel...",drafts/004_qualgent-ai.md,manual_review_required; no_seed_email
5,mindfort-ai,MindFort,https://www.mindfort.ai,100,medium,false,,,,persona_only,Exploring Continuous Security Solutions for Application Security,"Hi, I'm reaching out to discuss how companies like MindFort are addressing critical gaps in application security. Their tools enable continuous penetration testing and automate vulnerability remedi...",drafts/005_mindfort-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
6,getcohesiveai-com,Cohesive,https://getcohesiveai.com,100,medium,true,Kevin Zhang,Founder,https://www.linkedin.com/in/kevindzhang/,seed_team,Exploring Synergies between Cohesive and Emergent Delta,"Hi Kevin, I noticed that Cohesive is making strides in automating local business growth through your AI-powered CRM platform. With a strong commitment to software development and active hiring in t...",drafts/006_getcohesiveai-com.md,manual_review_required; no_seed_email
7,chrt-com,chrt,https://chrt.com,100,medium,true,Kyle Reagan,Co-founder and CEO,https://linkedin.com/in/kyle-reagan-surfs,seed_team,Exploring Operational Challenges in Logistics,"Hi Kyle, Chrt's focus on time-critical shipping is impressive, and it’s clear that maintaining operational uptime is crucial in your field. Given your emphasis on seamless logistics and integration...",drafts/007_chrt-com.md,manual_review_required; no_seed_email
8,getbluejay-ai,Bluejay,https://getbluejay.ai,100,medium,false,,,,persona_only,Exploring Testing Challenges for Voice AI,"Hi, I noticed that Bluejay specializes in testing and monitoring voice and chat AI agents, especially in production-critical environments. Given your focus on optimizing reliability and performance...",drafts/008_getbluejay-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
9,sim-ai,Sim,https://sim.ai,100,medium,false,,,,persona_only,Exploring Incident Management Solutions,"Hi, I’m reaching out to discuss how Sim's open-source AI platform can enhance your incident management processes. With our robust integration capabilities, managing AI workflows becomes more effici...",drafts/009_sim-ai.md,manual_review_required; no_seed_contact; no_seed_email; no_linkedin_url
10,lyra-so,Lyra,https://lyra.so,100,high,true,Courtne Marland,Founder/CEO,https://www.linkedin.com/in/courtnemarland/,seed_team,Exploring Meeting Automation Challenges at Lyra,"Hi Courtne, I’m reaching out to discuss potential improvements in meeting automation and communication efficiency in teams like yours at Lyra. Your platform's features such as meeting automation an...",drafts/010_lyra-so.md,manual_review_required; no_seed_email
