rank,company_id,company_name,website,source,final_score,confidence,final_stage,fit_label,best_contact_persona,personalized_hook,suggested_discovery_question,top_positive_signals,top_negative_signals,likely_pain_points,disqualifiers,manual_review_required,important_urls,homepage_url,careers_url,docs_url,status_url,github_url,blog_or_changelog_url
1,runcaptain-com,Captain,https://runcaptain.com,yc,100,high,premium,strong_candidate,CTO or engineering lead responsible for operations,"Captain's AI search capabilities can bridge the gap for teams lacking dedicated SRE resources, ensuring faster incident resolution and enhanced operational performance.",How do you currently manage incident responses and knowledge retrieval for your production systems?,Substantive API documentation supports integration efforts.; Mention of on-call and reliability language indicating production-critical operations.; Public status page and regular updates indicate operational transparency.,,Need for efficient and accurate search capabilities in handling large amounts of data.; Improving operational reliability and incident response without a full SRE team.; Seeking scalable solutions to enhance productivity and reduce troubleshooting time.,,false,"[{""url"": ""https://auth.runcaptain.com/u/login?state=hKFo2SBReXM4T0UwVHdFc2FNaUY3NXVhbjlqbkR1bFdPYjRNUaFur3VuaXZlcnNhbC1sb2dpbqN0aWTZIENHYWdaMjcteTUyVDZmbXF1Y29XNXNFZmYtY1N1ek0to2NpZNkgbFY2bkZySUtDNUxjWXdqeUNadE1lcGpOTTRoOGhrRGI"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.runcaptain.com"", ""source_type"": ""docs"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://docs.runcaptain.com/guides/get-started/introduction"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://github.com/runcaptain/captain-mrag-bench"", ""source_type"": ""github"", ""why_important"": ""Technical footprint and engineering culture."", ""used_in_reasoning"": false}, {""url"": ""https://status.runcaptain.com"", ""source_type"": ""status"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://www.runcaptain.com/"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.runcaptain.com/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.runcaptain.com/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/captain"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://www.runcaptain.com/,https://www.runcaptain.com/,https://docs.runcaptain.com,https://status.runcaptain.com,https://github.com/runcaptain/captain-mrag-bench,https://www.runcaptain.com/blog
2,getlark-ai,Lark,https://getlark.ai,yc,100,high,premium,strong_candidate,DevOps engineers or Engineering team leads,Lark offers AI-driven testing solutions that could enhance the efficiency of incident response workflows without the need for a full SRE team.,How does your team currently manage incident detection and response during deployments?,"Lark tests don't break when you revamp your dashboard or introduce a new API.; Lark's platform supports comprehensive testing including UIs, APIs, and mobile applications.; AI-driven workflows that run continuously ensure high reliability and quick adaptation to changes.",,Need for rapid incident root cause analysis due to frequent deployments and updates.; Managing test efficacy in production-critical environments with limited SRE resources.,,false,"[{""url"": ""https://docs.getlark.ai/"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://docs.getlark.ai/cli"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://docs.getlark.ai/introduction"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.getlark.ai/quickstart"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://docs.getlark.ai/secrets"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://getlark.ai"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://getlark.ai/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://getlark.ai/terms-of-service"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.getlark.ai"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/lark"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://getlark.ai,https://docs.getlark.ai/cli,https://docs.getlark.ai/,,,https://getlark.ai/blog
3,clarm-com,Clarm,https://www.clarm.com,yc,100,medium,reviewed,strong_candidate,Head of Growth or Revenue Operations,Clarm's robust integration capabilities can streamline lead qualification and enhance the efficiency of sales operations.,What challenges have you faced in converting inbound interest into qualified leads?,Strong software backbone with REST API and webhooks.; Emphasis on incident response and support.,,Converting inbound inquiries into sales effectively.; Managing customer interactions outside of business hours.; Providing rapid responses to customer inquiries to avoid drop-off.,,true,"[{""url"": ""https://clarm.com/demo/careerlaunch/"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": false}, {""url"": ""https://clarm.com/demo/corgi/"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://clarm.com/demo/soudronic/"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://clarm.com/demo/sweep/"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://www.clarm.com"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.clarm.com/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": true}, {""url"": ""https://www.clarm.com/changelog/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.clarm.com/demo/"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}, {""url"": ""https://www.clarm.com/demo/verve/"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://www.clarm.com/docs"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://www.clarm.com/pricing/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.clarm.com/solutions/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.clarm.com/tour/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/clarm"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://www.clarm.com,https://clarm.com/demo/careerlaunch/,https://www.clarm.com/docs,https://www.clarm.com/demo/,,https://www.clarm.com/blog
4,qualgent-ai,QualGent,https://www.qualgent.ai,yc,100,medium,reviewed,strong_candidate,Head of Quality Assurance,"QualGent's platform could significantly streamline your QA processes with AI-driven automation and real-time monitoring, providing faster testing and deployment.",What are the biggest challenges you face in your current QA process?,; ; ; ; ,,Struggles with increasing the efficiency of QA processes.; Need for deeper integration of automated testing in CI/CD workflows.; Managing the testing of mobile applications across multiple devices and configurations.,,true,"[{""url"": ""https://api.qualgent.ai/"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://trust.qualgent.ai/?tab=securityControls&frameworks=soc2_v1"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://www.qualgent.ai"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.qualgent.ai/about-us"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": true}, {""url"": ""https://www.qualgent.ai/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.qualgent.ai/book-demo"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.qualgent.ai/privacy-policy"", ""source_type"": ""search_result"", ""why_important"": ""Discovered via web search fallback."", ""used_in_reasoning"": false}, {""url"": ""https://www.qualgent.ai/terms-of-services"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/qualgent"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://www.qualgent.ai,https://api.qualgent.ai/,https://api.qualgent.ai/,,,https://www.qualgent.ai/blog
5,mindfort-ai,MindFort,https://www.mindfort.ai,yc,100,medium,reviewed,strong_candidate,Security Engineer / CTO,MindFort's tools can enhance your application's security posture by continuously identifying and addressing vulnerabilities.,How does MindFort prioritize vulnerability remediation in its continuous security workflow?,; ; ; ; ,,Need for continuous security assessment and breach response capabilities; Demand for quick vulnerability remediation without extensive manual work,,true,"[{""url"": ""https://docs.mindfort.ai"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://mindfort.openstatus.dev"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://status.mindfort.ai"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}, {""url"": ""https://www.mindfort.ai"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.mindfort.ai/blog"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.mindfort.ai/blog/seed-announcement"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://www.mindfort.ai/careers"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://www.mindfort.ai/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.mindfort.ai/solutions/healthcare"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/mindfort"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://www.mindfort.ai,https://www.mindfort.ai/careers,https://www.mindfort.ai/blog/seed-announcement,https://status.mindfort.ai,,https://www.mindfort.ai/blog/seed-announcement
6,getcohesiveai-com,Cohesive,https://getcohesiveai.com,yc,100,medium,reviewed,strong_candidate,,Cohesive's AI-driven approach to local service business growth could dramatically enhance operational efficiencies for small engineering teams.,What challenges do you face in automating lead generation and managing client communications?,Commitment to production-critical software indicated by active hiring for technical roles.; Substantive API documentation available on their website.; Focused on automating growth for local businesses using AI technology.,,Struggling to reach and engage local businesses effectively.; Need for a robust CRM solution that automates lead generation and follow-up.; Challenges in managing communications with diverse local businesses.,,true,"[{""url"": ""https://getcohesiveai.com"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://getcohesiveai.com/api-docs"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://getcohesiveai.com/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://getcohesiveai.com/careers"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://www.ycombinator.com/companies/cohesive"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://getcohesiveai.com,https://getcohesiveai.com/careers,https://getcohesiveai.com/api-docs,,,https://getcohesiveai.com/blog
7,chrt-com,chrt,https://chrt.com,yc,100,medium,reviewed,strong_candidate,Head of Operations or Technical Lead,"Chrt aims to address the challenges in time-critical shipping, aligning with solutions that enhance operational reliability and incident management.",What challenges do you face in maintaining operational uptime during peak shipping periods?,; ; ; ,,Need for faster incident response and root-cause analysis during shipping mishaps.; Integration with existing backend systems for logistics operations may be required.; Managing multiple carriers and ensuring seamless interoperability between systems.,,true,"[{""url"": ""https://account.chrt.com/?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*4d3fc62673d0e3ddb46a9d28781cf73b3720a9ec989e633213e25b79856a64e3*xuNufM_vZ170catrLEePlQ*yjVYxflNHV5GpNZFbTmcQ8avssjdItQDUbj9MSp1Z4q3asgV8ErhUaZHV2qsDra1AVXB030pJh6UuOJn8C_lr5yuJK0vZOm_GuA2xLQnVbweHrD7bTu4A2pj7PYs3aN9TXFIHKLAJg4QJ_3VvJrQoq7R5QmPvDJ-347z8hVqvfKplP0hFKYVkpSi2Mk0q8YI*1779155778502*9f6736e94c7605b122c13fb0aa11506729c5a320617302be56bb374c37586cc1*Vnf-ZO_AmhsZq5EaGikeChvFtxdDxqgEO19XMTjfqRQ%7E2&authorization_session_id=01KRYYK5CY9Y4GVTS1KJVAFMPK"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://account.chrt.com/?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*5f817d31825fd9ec05c8428af5ac2efaa30995e481d5d63c23ed06328806d154*0rGPBr3JPfg-8FSZZ7Wy4w*fQaMsxfus7AjdUhoxVjK3VGs9Puw8oFzCq5jl-EnnJlQh4t94o7Aisv2yH3fbAZ-hLSP-WzeTIonbYSamEgMwSrL6rm-W-RFH_vmVmtOo-IJlNCQjjj9M0B7QJhcMh1vysuxRx__sqI5XU3Rxwp3zoTM05RRVQ8D4jrQ1RrOq5gwVWxq-jvWSHGTd5_3bY_Z*1779155779747*1b374d15f1b7ac5e2ef98d6bbc0487595ca4d8e5e70f46482681fce2f41ea965*DYCj3_aQDNEQCEtKRfUUsmUewKnvPXRd0uN2c1v98i0%7E2&authorization_session_id=01KRYYK6K0R8XRG7KMHQN6QM4D"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": false}, {""url"": ""https://account.chrt.com/?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*82dca1eb2d7c4150a2718d7fa0d4e3fa4b47416ea296255bd74f73903f8a3699*xDuj12V24snvzSrhqJp5sQ*l2cz8VN0LGlKDmDNDz4fDWyFvI4dT_ZzsDifb-71UjxmCXGFStq45DQ21Y0auEshya7IAMJHzUaHAgcSKnZoB0fO_UxBi-bql0WOHbenaBXwReIhMrQuQCxkIo0V_LWgDnzo-I4LhtFO60qdgccxEx-vrqP-zev16FxG911MOw_OBGCa-zVVf8Q2hOXfAbCg*1779155781024*42652a3eb8bcd6c81d29ae5e0023ff5648729b3a94aeaaa2f9b00d8d629e7180*nMTHSDU20a8576aAH3nEEwQ74o6uexRVaq4CWVon51I%7E2&authorization_session_id=01KRYYK7T8MF5GEPJ8KRNX7HCY"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}, {""url"": ""https://account.chrt.com/?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*8d85ba8fd41314f649285e6274177e32872a3bcee300c1e4991466e5cd2b1858*avJZxrxmb9vRZ3x7N2r6fQ*KMnhUblHRCwMkmnUNaaIjkoQFkVo47mlGUtDB56dVRGe4F64rXnUn5DfKTWCJ6eZRWqaMSl6QrYsgXO2ce9B-7o2URui6ysLEgUOxx-bjbjqd4j4EZk_KW4Iw2-KojlEpY3lwjJvvylh89DmSN8uwflFrSrJuG_4pVJlxzdKMl_StM0CN9fkOjU5WSSQqFpC*1779155777417*fd6e00759849d6fd0a9ade88ce16efd6fe11457e0ad7ce52d14f98999efd37c4*9SGlIXN35nfkIBuXEwJ10h4erRNYD0NHCOk8Bj98Goc%7E2&authorization_session_id=01KRYYK49HQ21V64HB3608GF14"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://account.chrt.com/sign-up?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*8f9f6b2f52991b53be9f8056ab22ae5c77e0069194ef9c632fcdf5063d0ceae9*r8z1uXFjMeriiyjumCG3HQ*qQJ6CnB5m9w9og3au340T4Mivi0lFvharODI-b8kr_ytckLod1x7WYQ2aBIKUDN3c-ZtMQ6h4jnI1tVCmG_DlkyOm8cdI2zJqvUWgOOu_wW3pLl-QdvUwt81_XVq8CbpTr0qM4q8ggP6H0pSf-0PaX0K2ghnPqnyx9OuQh0j2POkgERO40JpMhwV3N0SRn0w*1779155775019*3791e637eef270f1588f0854f8f078b0ed5c170745b5fdd052faae45f5ccde52*b4T1VBquhMV5aTuhR77lj893nC5_Mg9pSlnDmtg__Fs%7E2&authorization_session_id=01KRYYK2AXX2VGRW7DAWR24TVC"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://chrt.com"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://chrt.com/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://chrt.com/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://chrt.com/terms"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.chrt.com/support"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://docs.chrt.com/welcome"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://github.com/chrt-inc"", ""source_type"": ""github"", ""why_important"": ""Technical footprint and engineering culture."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/chrt"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": true}]",https://chrt.com,https://account.chrt.com/?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*5f817d31825fd9ec05c8428af5ac2efaa30995e481d5d63c23ed06328806d154*0rGPBr3JPfg-8FSZZ7Wy4w*fQaMsxfus7AjdUhoxVjK3VGs9Puw8oFzCq5jl-EnnJlQh4t94o7Aisv2yH3fbAZ-hLSP-WzeTIonbYSamEgMwSrL6rm-W-RFH_vmVmtOo-IJlNCQjjj9M0B7QJhcMh1vysuxRx__sqI5XU3Rxwp3zoTM05RRVQ8D4jrQ1RrOq5gwVWxq-jvWSHGTd5_3bY_Z*1779155779747*1b374d15f1b7ac5e2ef98d6bbc0487595ca4d8e5e70f46482681fce2f41ea965*DYCj3_aQDNEQCEtKRfUUsmUewKnvPXRd0uN2c1v98i0%7E2&authorization_session_id=01KRYYK6K0R8XRG7KMHQN6QM4D,https://docs.chrt.com/support,https://account.chrt.com/?client_id=client_01KR50NVMGBMA0QM4D8EXKET1A&redirect_uri=https%3A%2F%2Fchrt.com%2Fcallback&state=Fe26.2*1*82dca1eb2d7c4150a2718d7fa0d4e3fa4b47416ea296255bd74f73903f8a3699*xDuj12V24snvzSrhqJp5sQ*l2cz8VN0LGlKDmDNDz4fDWyFvI4dT_ZzsDifb-71UjxmCXGFStq45DQ21Y0auEshya7IAMJHzUaHAgcSKnZoB0fO_UxBi-bql0WOHbenaBXwReIhMrQuQCxkIo0V_LWgDnzo-I4LhtFO60qdgccxEx-vrqP-zev16FxG911MOw_OBGCa-zVVf8Q2hOXfAbCg*1779155781024*42652a3eb8bcd6c81d29ae5e0023ff5648729b3a94aeaaa2f9b00d8d629e7180*nMTHSDU20a8576aAH3nEEwQ74o6uexRVaq4CWVon51I%7E2&authorization_session_id=01KRYYK7T8MF5GEPJ8KRNX7HCY,https://github.com/chrt-inc,https://chrt.com/blog
8,getbluejay-ai,Bluejay,https://getbluejay.ai,yc,100,medium,reviewed,strong_candidate,CTO or Head of Engineering,Bluejay's focus on optimizing voice AI aligns with ensuring effective performance in production environments.,What challenges are you currently facing in monitoring and testing your conversational AI agents?,; ; ; ; ,,Ensuring the reliability and performance of voice AI in production environments.; The need for effective monitoring and testing of conversational agents before deployment.,,true,"[{""url"": ""https://docs.getbluejay.ai/"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://getbluejay.ai"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://getbluejay.ai/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://getbluejay.ai/platform"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://getbluejay.ai/terms-of-service"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://newsletter.getbluejay.ai"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/bluejay"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/bluejay/jobs"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": false}]",https://getbluejay.ai,https://www.ycombinator.com/companies/bluejay/jobs,https://docs.getbluejay.ai/,,,https://getbluejay.ai/blog
9,sim-ai,Sim,https://sim.ai,yc,100,medium,reviewed,strong_candidate,DevOps team leads or engineering managers,Explore how Sim's AI workflows can streamline your team's incident management and help maintain uptime.,What tools does your team currently use for incident management and root cause analysis?,; ; ; ,,Need for efficient root-cause analysis in incident management; Integration complexities with existing tools; Management of AI workflows without dedicated reliability teams,,true,"[{""url"": ""https://docs.sim.ai"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://docs.sim.ai/api-reference/getting-started"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.sim.ai/blocks/agent"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.sim.ai/introduction"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.sim.ai/knowledgebase"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.sim.ai/mcp"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.sim.ai/self-hosting"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.sim.ai/tables"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://github.com/simstudioai/sim"", ""source_type"": ""github"", ""why_important"": ""Technical footprint and engineering culture."", ""used_in_reasoning"": false}, {""url"": ""https://jobs.ashbyhq.com/sim"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://status.sim.ai"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}, {""url"": ""https://www.sim.ai/"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.sim.ai/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/sim"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://www.sim.ai/,https://jobs.ashbyhq.com/sim,https://docs.sim.ai,https://status.sim.ai,https://github.com/simstudioai/sim,https://www.sim.ai/blog
10,lyra-so,Lyra,https://lyra.so,yc,100,high,reviewed,strong_candidate,,Streamline your meeting workflows and enhance productivity with Lyra's solutions.,What challenges do you face in automating your meeting processes?,; ,,Need for automation in meeting processes; Integration challenges with CRM systems; Improving team communication efficiency,,true,"[{""url"": ""https://docs.lyra.so/changelog"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://docs.lyra.so/policies/privacy-policy"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.lyra.so/policies/terms-of-service"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://lyra.so"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://lyra.so/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://lyra.so/support"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://trylyra.notion.site/positions"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": false}, {""url"": ""https://www.ycombinator.com/companies/lyrahq"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}]",https://lyra.so,https://trylyra.notion.site/positions,https://docs.lyra.so/changelog,,,https://docs.lyra.so/changelog
