rank,company_id,company_name,website,source,final_score,confidence,final_stage,fit_label,best_contact_persona,personalized_hook,suggested_discovery_question,top_positive_signals,top_negative_signals,likely_pain_points,disqualifiers,manual_review_required,important_urls,homepage_url,careers_url,docs_url,status_url,github_url,blog_or_changelog_url
1,leanmcp-com,Leanmcp,https://leanmcp.com,cmu,100,high,premium,strong_candidate,Technical Lead / Engineering Manager,"Leanmcp's focus on serverless AI infrastructure and observability suggests they could greatly benefit from our AI-assisted incident root-cause analysis tools, enhancing operational visibility and efficiency.",What challenges do you face in managing production incidents without a dedicated SRE team?,"LeanMCP provides a production-grade serverless platform for AI agents, which is ideal for teams needing strong operational tooling without extensive SRE resources.; Leanmcp's platform includes observability features which are crucial for production environments needing real-time monitoring and tracing.; The infrastructure supports integrations with tools like OpenAI's Agent Kit, indicating a focus on developer-centric operations, which aligns with the needs of small engineering teams.",,Need for faster incident root-cause analysis due to lack of a full SRE organization.; Challenges in integrating AI workflows seamlessly.; Desire for monitoring and observability solutions for AI systems.,,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}, {""url"": ""https://docs.leanmcp.com/ai-gateway"", ""source_type"": ""docs"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://docs.leanmcp.com/ai-gateway/introduction"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://github.com/LeanMCP/leanmcp-sdk"", ""source_type"": ""github"", ""why_important"": """", ""used_in_reasoning"": false}, {""url"": ""https://www.leanmcp.com/"", ""source_type"": ""homepage"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://www.leanmcp.com/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.leanmcp.com/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://www.leanmcp.com/,,https://docs.leanmcp.com/ai-gateway,,https://github.com/LeanMCP/leanmcp-sdk,https://www.leanmcp.com/blog
2,rockfish-ai,Rockfish Data,https://www.rockfish.ai,cmu,100,high,premium,strong_candidate,,Harness Rockfish Data's platform with Emergent Delta to transform data challenges into AI evaluation and operational reliability strengths.,How do you currently address data scarcity challenges when testing your AI models?,"Substantial API documentation and integration capabilities.; Platform targets production-critical AI/ML applications, tackling data bottlenecks.",,AI model training affected by data bottlenecks; Difficulty creating realistic testing scenarios for ML applications,,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": true}, {""url"": ""https://docs142.rockfish.ai"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai/developers/integrations"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://www.rockfish.ai/platform/platform-overview"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai/platform/science"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai/resources/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai/resources/news"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai/why-rockfish/about-us"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.rockfish.ai/why-rockfish/career"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": false}]",https://www.rockfish.ai,https://www.rockfish.ai/why-rockfish/career,https://www.rockfish.ai/developers/integrations,,,https://www.rockfish.ai/resources/blog
3,woodwide-ai,"Wood Wide AI, Inc.",https://woodwide.ai,cmu,98,high,premium,strong_candidate,Product or Data leader,Explore how Wood Wide AI can enhance your incident analysis with intelligent reasoning over your structured datasets.,What are your current challenges in managing structured data for operational analytics?,API-first numeric reasoning platform supporting B2B applications.; Supports production-critical tasks such as forecasting and anomaly detection.; Mentions on-call reliability and incident response.; Aligns with small engineering teams looking for integrated data solutions without bespoke ML.,,"Challenges in establishing efficient data pipelines for structured data analysis.; Need for reliable, context-aware numeric reasoning without extensive ML infrastructure.",,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}, {""url"": ""https://docs.woodwide.ai/"", ""source_type"": ""docs"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://docs.woodwide.ai/llms.txt"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.woodwide.ai/"", ""source_type"": ""homepage"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://www.woodwide.ai/about"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.woodwide.ai/contact"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.woodwide.ai/terms-and-conditions"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://www.woodwide.ai/,,https://docs.woodwide.ai/,,,
4,aperturedata-io,ApertureData,https://www.aperturedata.io,cmu,95,high,premium,strong_candidate,CTO or Engineering Manager,ApertureData's platform appears well-positioned to maximize the benefits of AI-assisted incident response. Emergent Delta could enhance your on-call handling and streamline database management processes.,"How does your engineering team handle incident response across multimodal AI data workflows, and what challenges do you face in integrating these processes?",Multimodal AI data management with integrated API support.; Focus on streamlining production workflows for AI applications.; Presence of on-call reliability features and related language.,,Need for improved incident response capabilities in handling multimodal datasets.; Complexity in integrating multiple AI workflows without extensive infrastructure.,,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}, {""url"": ""https://docs.aperturedata.io/"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://docs.aperturedata.io/Integrations/machine_learning_howto"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.aperturedata.io/Setup/client/webui"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://github.com/aperture-data/"", ""source_type"": ""github"", ""why_important"": ""Technical footprint and engineering culture."", ""used_in_reasoning"": false}, {""url"": ""https://www.aperturedata.io"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.aperturedata.io/docker-license"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.aperturedata.io/news"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.aperturedata.io/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.twelvelabs.io/blog/twelve-labs-and-aperture-data"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://www.aperturedata.io,,https://docs.aperturedata.io/,,https://github.com/aperture-data/,https://www.aperturedata.io/news
5,vortexsoftware-com,Vortex,https://www.vortexsoftware.com,cmu,95,high,premium,strong_candidate,CTO or Head of Engineering,Discover how Vortex's SDK can efficiently streamline your user activation flows.,What strategies do you currently use to enhance user invitation engagement?,B2B focus with enterprise software/SaaS offerings.; Presence of detailed API documentation.; Production-critical focus with mentions of on-call and incident management.,,Need for efficient incident root-cause analysis in small engineering teams.; Challenges in maximizing invite-to-activation conversion rates.; Limited resources for dedicated SRE or reliability roles.,,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": true}, {""url"": ""https://blog.vortexsoftware.com"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://docs.vortexsoftware.com"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": false}, {""url"": ""https://docs.vortexsoftware.com/changelog"", ""source_type"": ""changelog"", ""why_important"": ""Release discipline and operational change signals."", ""used_in_reasoning"": false}, {""url"": ""https://github.com/TeamVortexSoftware"", ""source_type"": ""github"", ""why_important"": ""Technical footprint and engineering culture."", ""used_in_reasoning"": false}, {""url"": ""https://vortex-software.betteruptime.com/"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}, {""url"": ""https://www.vortexsoftware.com"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://www.vortexsoftware.com/careers"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://www.vortexsoftware.com/contact"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.vortexsoftware.com/pricing"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://www.vortexsoftware.com,https://www.vortexsoftware.com/careers,https://docs.vortexsoftware.com,https://vortex-software.betteruptime.com/,https://github.com/TeamVortexSoftware,https://docs.vortexsoftware.com/changelog
6,civys-vercel-app,Civys,https://civys.vercel.app,cmu,90,high,premium,strong_candidate,Legal Operations Manager,Discover how Civys can streamline your compliance workflows with our AI-assisted incident RCA tool.,How are you currently managing compliance and legal interpretation within your organization?,"Production-critical compliance intelligence solution; AI-driven analysis for legal and policy texts; API available for legislative data access; Structured, audit-ready brief generation; Capabilities to reduce compliance misinterpretation risks",,Organizations struggling with compliance interpretation and accountability; Need for reducing misinterpretation risk in legal texts; Demand for audit-ready documents in complex regulatory environments,,true,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": true}, {""url"": ""https://civys.vercel.app"", ""source_type"": ""homepage"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://civys.vercel.app/about"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://civys.vercel.app/developers"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://civys.vercel.app/team"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://civys.vercel.app,,https://civys.vercel.app/developers,,,
7,flowstatehq-com,FlowState AI,https://flowstatehq.com,cmu,85,high,premium,strong_candidate,Product Manager or Head of Engineering,"Considering your AI-driven video intelligence platform's focus on operational effectiveness, Emergent Delta can enhance your incident response efficiency without expanding your SRE team.",How is your team currently handling incident response and RCA in your production environments?,"FlowState provides a single, production-ready API for ingesting, analyzing, and acting on video, which demonstrates a production-critical environment.; The company is hiring for infrastructure and AI engineering roles, indicating growth and scale in their operations.",Currently lacks public API documentation or clear integration details that could hinder immediate adoption.,Integration of emerging AI technologies into existing systems; Enhancing operational incident management workflows,Does not provide public API documentation or integrations despite operational focus,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}, {""url"": ""https://www.flowstatehq.com/"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": false}, {""url"": ""https://www.flowstatehq.com/about"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.flowstatehq.com/about#role"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://www.flowstatehq.com/api"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://www.flowstatehq.com/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.flowstatehq.com/legal/terms-of-service"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://www.flowstatehq.com/,https://www.flowstatehq.com/about#role,https://www.flowstatehq.com/api,,,https://www.flowstatehq.com/blog
8,impulselabs-ai,Impulse AI,https://www.impulselabs.ai,cmu,85,high,premium,strong_candidate,Product Manager,"Enhance your operational efficiency with Impulse AI's no-code ML platform, ideal for small teams needing quick predictive capabilities without extensive resources.",What methods do you currently employ for quick deployment of predictive models in your production environment?,"The company offers a no-code ML platform suited for production-grade predictive modeling without a dedicated team.; Their API allows for rapid deployment and interaction with machine learning models, which is beneficial for data analysis tasks common in production environments.; The presence of substantive API documentation aligns with their operational readiness for integration.",,Need for rapid model deployment without deep technical expertise; Ensuring reliability in production environments without a dedicated SRE team; Demand for predictive analytics in decision-making processes,,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": true}, {""url"": ""https://docs.impulselabs.ai/introduction"", ""source_type"": ""docs"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://www.impulselabs.ai"", ""source_type"": ""homepage"", ""why_important"": """", ""used_in_reasoning"": true}, {""url"": ""https://www.impulselabs.ai/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://www.impulselabs.ai/blog/we-built-an-nba-playoff-model-here-s-how-it-compares-to-the-markets-and-espn."", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.impulselabs.ai/blog/we-built-an-nhl-playoff-model.-here-s-how-it-compares-to-the-markets-moneypuck-and-hockeystats"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.impulselabs.ai/blog/we-wrote-a-spec-impulse-built-a-calibrated-nba-win-probability-model"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.impulselabs.ai/blog/we-wrote-a-spec.-impulse-built-a-calibrated-nhl-win-probability-model"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.impulselabs.ai/contact"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://www.impulselabs.ai,,https://docs.impulselabs.ai/introduction,,,https://www.impulselabs.ai/blog
9,wukongai-io,"WuKong AI, Inc",https://wukongai.io,cmu,72,medium,premium,maybe,,,How does your team currently handle incident response lacking a dedicated reliability headcount?,"WuKong AI focuses on AI-native solutions integrating vision, language, action, and robotics, indicating a strong technical foundation for innovative automation in production environments.; The platform supports production-critical operations evidenced by narratives of AI-driven automated repository engagements and multi-agent coordination.","Lack of substantive API documentation and webhooks, which are critical for integration in a software infrastructure context.; No explicit evidence of a support infrastructure aligning with on-call reliability, which may affect incident response effectiveness.",Need for integrated incident analysis and response solutions without dedicated SRE staff; Challenges in maintaining operational efficiency due to lack of substantive API and webhook support,No substantive developers docs or on-call language; Lack of public API documentation and webhooks,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": true}, {""url"": ""https://wukongai.io"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://wukongai.io/article/ai-team-shipped"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": true}, {""url"": ""https://wukongai.io/article/show-your-work-case-study"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://wukongai.io/article/wukong-team-pilot-playbook"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": true}, {""url"": ""https://wukongai.io/blog"", ""source_type"": ""blog"", ""why_important"": ""Product updates and engineering narrative."", ""used_in_reasoning"": false}, {""url"": ""https://wukongai.io/careers"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://wukongai.io/docs"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": false}, {""url"": ""https://wukongai.io/status"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}]",https://wukongai.io,https://wukongai.io/careers,https://wukongai.io/docs,https://wukongai.io/status,,https://wukongai.io/blog
10,rapideyeinspections-com,RapidEye,https://rapideyeinspections.com,cmu,70,high,premium,strong_candidate,,Explore how RapidEye can leverage AI-driven incident analyses to enhance integration reliability for their vacation rental inspection platform.,What challenges do you face in maintaining uptime and reliability while managing data integrations from various platforms?,"AI-powered inspection intelligence for vacation rentals.; Integrates with major platforms like Breezeway, Guesty, and Track.",Lacks on-call support and comprehensive API documentation.,Managing and analyzing large volumes of visual data efficiently; Ensuring integration reliability with multiple property management systems,No on-call support or substantive API documentation,false,"[{""url"": ""https://airtable.com/appoCn0JyaYH2Pbab/shrpqgg6AsoRH8JbD?jrprS=allRecords"", ""source_type"": ""seed_metadata"", ""why_important"": ""Source list metadata (YC/CMU)."", ""used_in_reasoning"": false}, {""url"": ""https://rapideyeinspections.com"", ""source_type"": ""homepage"", ""why_important"": ""Explains core product and target customer."", ""used_in_reasoning"": true}, {""url"": ""https://rapideyeinspections.com/blog/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://rapideyeinspections.com/blog/introducing-rapideye/"", ""source_type"": ""docs"", ""why_important"": ""Shows public API/integration/developer surface."", ""used_in_reasoning"": true}, {""url"": ""https://rapideyeinspections.com/careers/"", ""source_type"": ""careers"", ""why_important"": ""Contains hiring/on-call/reliability signals."", ""used_in_reasoning"": true}, {""url"": ""https://rapideyeinspections.com/content/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://rapideyeinspections.com/showcase/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://rapideyeinspections.com/status/"", ""source_type"": ""status"", ""why_important"": ""Indicates production uptime monitoring."", ""used_in_reasoning"": false}, {""url"": ""https://rapideyeinspections.com/tools/"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.linkedin.com/feed/update/urn:li:activity:7419086397690773504"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}, {""url"": ""https://www.linkedin.com/posts/patrick-bartlett_weve-been-quietly-using-rapideye-for-a-while-ugcPost-7456023007057313792-hD5j"", ""source_type"": ""fallback_page"", ""why_important"": ""Fetched from search result for additional context."", ""used_in_reasoning"": false}]",https://rapideyeinspections.com,https://rapideyeinspections.com/careers/,https://rapideyeinspections.com/blog/introducing-rapideye/,https://rapideyeinspections.com/status/,,https://rapideyeinspections.com/blog/introducing-rapideye/
